time,latitude,longitude,altitude,co2
1625239755,45.651464,25.615426,100,563
1625239815,45.651464,25.615426,100,562
1625239875,45.651464,25.615426,100,561
1625239935,45.651464,25.615426,100,559
1625239995,45.651464,25.615426,100,559
1625240055,45.651464,25.615426,100,562
1625240115,45.651464,25.615426,100,567
1625240175,45.651464,25.615426,100,566
1625240235,45.651464,25.615426,100,563
1625240295,45.651464,25.615426,100,557
1625240355,45.651464,25.615426,100,558
1625240416,45.651464,25.615426,100,561
1625240476,45.651464,25.615426,100,558
1625240535,45.651464,25.615426,100,561
1625240595,45.651464,25.615426,100,564
1625240655,45.651464,25.615426,100,561
1625240715,45.651464,25.615426,100,562
1625240775,45.651464,25.615426,100,562
1625240835,45.651464,25.615426,100,562
1625240895,45.651464,25.615426,100,560
1625240956,45.651464,25.615426,100,558
1625241016,45.651464,25.615426,100,551
1625241075,45.651464,25.615426,100,550
1625241135,45.651464,25.615426,100,553
1625241195,45.651464,25.615426,100,551
1625241255,45.651464,25.615426,100,555
1625241315,45.651464,25.615426,100,554
1625241375,45.651464,25.615426,100,551
1625241435,45.651464,25.615426,100,548
1625241495,45.651464,25.615426,100,544
1625241555,45.651464,25.615426,100,549
1625241615,45.651464,25.615426,100,551
1625241675,45.651464,25.615426,100,552
1625241735,45.651464,25.615426,100,549
1625241795,45.651464,25.615426,100,554
1625241855,45.651464,25.615426,100,553
1625241915,45.651464,25.615426,100,548
1625241975,45.651464,25.615426,100,551
1625242035,45.651464,25.615426,100,551
1625242095,45.651464,25.615426,100,551
1625242155,45.651464,25.615426,100,555
1625242215,45.651464,25.615426,100,554
1625242275,45.651464,25.615426,100,555
1625242336,45.651464,25.615426,100,555
1625242396,45.651464,25.615426,100,553
1625242455,45.651464,25.615426,100,553
1625242515,45.651464,25.615426,100,551
1625242575,45.651464,25.615426,100,554
1625242637,45.651464,25.615426,100,552
1625242695,45.651464,25.615426,100,547
1625242755,45.651464,25.615426,100,547
1625242815,45.651464,25.615426,100,544
1625242875,45.651464,25.615426,100,547
1625242935,45.651464,25.615426,100,543
1625242995,45.651464,25.615426,100,548
1625243056,45.651464,25.615426,100,548
1625243116,45.651464,25.615426,100,543
1625243175,45.651464,25.615426,100,540
1625243235,45.651464,25.615426,100,544
1625243295,45.651464,25.615426,100,548
1625243355,45.651464,25.615426,100,549
1625243415,45.651464,25.615426,100,549
1625243475,45.651464,25.615426,100,547
1625243536,45.651464,25.615426,100,545
1625243595,45.651464,25.615426,100,547
1625243655,45.651464,25.615426,100,546
1625243716,45.651464,25.615426,100,551
